family,genus,aerobic_status,gram_stain,spore_formation,saccharolytic,num_species
Aerococcaceae,Abiotrophia,facultative anaerobe,Gram-positive,non-spore forming,not indicated,1
Lachnospiraceae,Abyssivirga,obligate anaerobe,not indicated,non-spore forming,saccharolytic,1
Ruminococcaceae,Acetivibrio,anaerobe (unspecified),Gram-negative,non-spore forming,not indicated,2
Alcaligenaceae,Achromobacter,aerobe,Gram-negative,non-spore forming,asaccharolytic,14
Acidaminococcaceae,Acidaminococcus,anaerobe (unspecified),Gram-negative,non-spore forming,mixed,2
Comamonadaceae,Acidovorax,aerobe,Gram-negative,not indicated,not indicated,15
Actinomycetaceae,Actinobaculum,facultative anaerobe,Gram-positive,non-spore forming,saccharolytic,1
Aerococcaceae,Aerococcus,facultative anaerobe,Gram-positive,not indicated,mixed,8
Nocardioidaceae,Aeromicrobium,aerobe,Gram-positive,non-spore forming,not indicated,12
Bradyrhizobiaceae,Afipia,not indicated,Gram-negative,not indicated,not indicated,5
Pasteurellaceae,Aggregatibacter,facultative anaerobe,Gram-negative,not indicated,saccharolytic,3
Akkermansiaceae,Akkermansia,obligate anaerobe,Gram-negative,not indicated,saccharolytic,1
Rikenellaceae,Alistipes,anaerobe (unspecified),Gram-negative,not indicated,not indicated,7
Clostridiaceae,Alkaliphilus,anaerobe (unspecified),Gram-positive,spore forming,not indicated,5
Prevotellaceae,Alloprevotella,obligate anaerobe,Gram-negative,not indicated,saccharolytic,2
Phyllobacteriaceae,Aminobacter,not indicated,Gram-negative,non-spore forming,asaccharolytic,6
Unclassified Clostridiales,Anaerococcus,obligate anaerobe,Gram-positive,not indicated,mixed,7
Veillonellaceae,Anaeroglobus,obligate anaerobe,Gram-negative,non-spore forming,saccharolytic,1
Ruminococcaceae,Anaerotruncus,obligate anaerobe,Gram-positive,non-spore forming,saccharolytic,1
Unclassified Burkholderiales,Aquabacterium,microaerobe,Gram-negative,not indicated,not indicated,6
Micrococcaceae,Arthrobacter,aerobe,Gram-positive,non-spore forming,not indicated,47
Atopobacteriaceae,Atopobium,obligate anaerobe,Gram-positive,non-spore forming,not indicated,6
Aurantimonadaceae,Aurantimonas,obligate anaerobe,Gram-negative,non-spore forming,not indicated,2
Rhodocyclaceae,Azoarcus,not indicated,Gram-negative,not indicated,not indicated,9
