kingdom,phylum,class,order,family,genus,num_ref_seqs
Archaea,[Parvarchaeota],[Micrarchaea],[Micrarchaeles],NA,NA,15
Archaea,[Parvarchaeota],[Micrarchaea],pMC2A384,NA,NA,6
Archaea,[Parvarchaeota],[Parvarchaea],WCHD3-30,NA,NA,13
Archaea,[Parvarchaeota],[Parvarchaea],YLA114,NA,NA,58
Archaea,Crenarchaeota,AAG,NA,NA,NA,20
Archaea,Crenarchaeota,Aigarchaeota,[Caldiarchales],[Caldiarchaceae],Caldiarchaeum,1
Archaea,Crenarchaeota,Aigarchaeota,[Caldiarchales],[Caldiarchaceae],Candidatus Caldiarchaeum,4
Archaea,Crenarchaeota,Aigarchaeota,[Caldiarchales],[Caldiarchaceae],NA,12
Archaea,Crenarchaeota,Aigarchaeota,[Caldiarchales],NA,NA,2
Archaea,Crenarchaeota,Aigarchaeota,NA,NA,NA,5
Archaea,Crenarchaeota,Korarchaeota,Korarchaeotales,Korarchaeotaceae,Candidatus Korarchaeum,3
Archaea,Crenarchaeota,Korarchaeota,Korarchaeotales,Korarchaeotaceae,NA,9
Archaea,Crenarchaeota,Korarchaeota,Korarchaeotales,NA,NA,3
Archaea,Crenarchaeota,Korarchaeota,pJP78,NA,NA,4
Archaea,Crenarchaeota,MBGA,NRP-J,NA,NA,36
Archaea,Crenarchaeota,MBGA,NA,NA,NA,63
Archaea,Crenarchaeota,MBGB,NA,NA,NA,157
Archaea,Crenarchaeota,MCG,B10,NA,NA,62
Archaea,Crenarchaeota,MCG,pGrfC26,NA,NA,166
Archaea,Crenarchaeota,MCG,NA,NA,NA,214
Archaea,Crenarchaeota,MHVG,NA,NA,NA,17
Archaea,Crenarchaeota,pISA9,NA,NA,NA,7
Archaea,Crenarchaeota,pOWA133,NA,NA,NA,3
Archaea,Crenarchaeota,pUWA2,NA,NA,NA,15
Archaea,Crenarchaeota,Thaumarchaeota,AK31,NA,NA,7
Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Cenarchaeum,15
Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Nitrosopumilus,354
Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,NA,153
Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,SAGMA-X,Nitrosotalea,1
Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,SAGMA-X,NA,18
Archaea,Crenarchaeota,Thaumarchaeota,Cenarchaeales,NA,NA,7
Archaea,Crenarchaeota,Thaumarchaeota,D-F10,NA,NA,4
Archaea,Crenarchaeota,Thaumarchaeota,Nitrosocaldales,Nitrosocaldaceae,Candidatus Nitrosocaldus,7
Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,94
Archaea,Crenarchaeota,Thaumarchaeota,Nitrososphaerales,Nitrososphaeraceae,NA,3
Archaea,Crenarchaeota,Thaumarchaeota,NA,NA,NA,1
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,11
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Caldisphaera,5
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,2
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,3
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,2
Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Sulfophobococcus,1
