family,genus,species,accession,start_pos,end_pos
Aerococcaceae,Abiotrophia,Abiotrophia defectiva,D50541,1,1411
Lachnospiraceae,Abyssivirga,Abyssivirga alkaniphila,KP233895,1,1520
Acanthopleuribacteraceae,Acanthopleuribacter,Acanthopleuribacter pedis,AB303221,1,1453
Micrococcaceae,Acaricomes,Acaricomes phytoseiuli,AJ812213,1,1478
Ruminococcaceae,Acetanaerobacterium,Acetanaerobacterium elongatum,AY487928,1,1533
Lachnospiraceae,Acetatifactor,Acetatifactor muris,HM989805,1,1376
Lachnospiraceae,Acetitomaculum,Acetitomaculum ruminis,M59083,1,1478
Ruminococcaceae,Acetivibrio,Acetivibrio cellulolyticus,L35516,1,1464
Ruminococcaceae,Acetivibrio,Acetivibrio ethanolgignens,FR749897,1,1529
Unclassified Clostridiales,Acetoanaerobium,Acetoanaerobium noterae,GU562448,1,1415
Unclassified Clostridiales,Acetoanaerobium,Acetoanaerobium pronyense,KJ174056,1,1384
Acetobacteraceae,Acetobacter,Acetobacter aceti,X74066,1,1480
Acetobacteraceae,Acetobacter,Acetobacter cerevisiae,AJ419843,1,1442
Acetobacteraceae,Acetobacter,Acetobacter cibinongensis,AB052710,1,1414
Acetobacteraceae,Acetobacter,Acetobacter estunensis,AJ419838,1,1440
Acetobacteraceae,Acetobacter,Acetobacter fabarum,AM905849,1,1442
Acetobacteraceae,Acetobacter,Acetobacter farinalis,AB602333,1,1417
Acetobacteraceae,Acetobacter,Acetobacter ghanensis,EF030713,1,1442
Acetobacteraceae,Acetobacter,Acetobacter indonesiensis,AB032356,1,1454
Acetobacteraceae,Acetobacter,Acetobacter lambici,HF969863,1,1442
Acetobacteraceae,Acetobacter,Acetobacter lovaniensis,AB032351,1,1443
Acetobacteraceae,Acetobacter,Acetobacter malorum,AJ419844,1,1442
Acetobacteraceae,Acetobacter,Acetobacter musti,HM162854,1,1434
Acetobacteraceae,Acetobacter,Acetobacter nitrogenifigens,AY669513,1,1451
Acetobacteraceae,Acetobacter,Acetobacter oeni,AY829472,1,1484
Acetobacteraceae,Acetobacter,Acetobacter okinawensis,AB665068,1,1412
Acetobacteraceae,Acetobacter,Acetobacter orientalis,AB052706,1,1401
Acetobacteraceae,Acetobacter,Acetobacter orleanensis,AB032350,1,1443
Acetobacteraceae,Acetobacter,Acetobacter papayae,AB665066,1,1406
Acetobacteraceae,Acetobacter,Acetobacter pasteurianus subsp. ascendens,FM178866,1,1517
Acetobacteraceae,Acetobacter,Acetobacter pasteurianus subsp. paradoxus,GU205100,1,1462
Acetobacteraceae,Acetobacter,Acetobacter pasteurianus subsp. pasteurianus,X71863,1,1479
Acetobacteraceae,Acetobacter,Acetobacter peroxydans,AB032352,1,1335
